년도,구분,일반이용자,운동시설,자전거
2009년,1,1374424,157913,396165
2009년,2,1860362,69587,481561
2009년,3,1957592,49270,679795
2009년,4,849218,265643,431169
2009년,5,1093427,147756,464922
2009년,6,860607,394224,550963
2009년,7,5883009,30003,1098634
2009년,8,1229905,11486,596945
2009년,9,2032333,100966,550050
2009년,10,1387392,16828,1474442
2009년,11,351032,22470,493122
2010년,1,1378248,107401,967040
2010년,2,1856117,100002,493189
2010년,3,4066798,1073104,1278201
2010년,4,730872,449560,754869
2010년,5,1433940,161801,666576
2010년,6,1734365,498972,741759
2010년,7,9545299,112643,1620040
2010년,8,1181138,103933,772634
2010년,9,3006968,473758,920200
2010년,10,1284094,38026,2040023
2010년,11,594524,29580,211310
2011년,1,1319660,96233,1109915
2011년,2,1423360,39266,487872
2011년,3,5526956,2169696,1977511
2011년,4,770420,336274,728813
2011년,5,1342340,196066,530109
2011년,6,1096020,233866,626737
2011년,7,9409674,817038,1297669
2011년,8,1356008,117064,844140
2011년,9,1245242,152737,410023
2011년,10,3482371,58227,1601713
2011년,11,686360,21113,169975
2012년,1,875379,79789,834677
2012년,2,1466935,34040,557138
2012년,3,6864264,2726779,3637311
2012년,4,831165,317847,554763
2012년,5,1399632,431129,608774
2012년,6,1605237,194601,575458
2012년,7,7074987,793541,2154083
2012년,8,1431268,52554,1125085
2012년,10,1147010,172686,647188
2012년,10,3935854,190825,1466451
2012년,11,733901,18414,536185
2013년,1,598078,130269,651242
2013년,2,1489767,153278,794216
2013년,3,5161329,2507321,3596601
2013년,4,1263542,156195,639723
2013년,5,1055719,361287,612845
2013년,6,1533507,490877,859193
2013년,7,11635571,512037,1503655
2013년,8,1127128,253118,953476
2013년,9,1473402,181649,710958
2013년,10,1594732,236664,909106
2013년,11,496357,48561,993015
